1,The system must support a computerized banking network that includes both human cashiers and ATMs. 
2,The computerized banking network will be shared by a consortium of banks. Each bank provides a computer that maintains the bank's accounts and processes transactions against the accounts. 
3,Cashier stations are owned by individual banks and communicate directly with the bank's computers. 
4,Human cashiers enter the account data and transaction data. 
5,An ATM communicates with a central computer. The central computer clears transactions with the banks. 
6,An ATM accepts a cash card and interacts with the user. 
7,An ATM communicates with the central computer to carry out transactions. 
8,An ATM dispenses cash and prints receipts. 
9,The system requires appropriate record-keeping and security provisions. 
10,The system must handle concurrent access to the same account correctly. 
11,The banks will provide the bank's own software for the bank's own computers
